time,open,high,low,close,volume,Close - Open (Round to 2deci),High - Low (Round to 2deci)
1/21/2021 17:00,43.03,44.1,42.2602,42.98,382460,-0.05,1.84
1/21/2021 16:00,40.53,43.19,40.52,43.02,9078729,2.49,2.67
1/21/2021 15:00,42.2413,42.55,40.02,40.56,5390985,-1.68,2.53
1/21/2021 14:00,39.61,42.59,39.38,42.218,7001864,2.61,3.21
1/21/2021 13:00,42.3,42.8,37,39.7,13200175,-2.6,5.8
1/21/2021 12:00,39.8289,44.75,39.38,42.2501,12717224,2.42,5.37
1/21/2021 11:00,38.51,40.53,37.86,39.8675,5334277,1.36,2.67
1/21/2021 10:00,39.05,39.79,37.52,38.5,2752987,-0.55,2.27
1/21/2021 9:00,38.5501,39.38,38.54,39,38791,0.45,0.84
1/21/2021 8:00,38.75,39.02,38.54,38.56,12525,-0.19,0.48
1/21/2021 7:00,38.95,39,38.9,38.9,1975,-0.05,0.1
1/21/2021 5:00,39.2,39.2,39.2,39.2,390,0,0
1/20/2021 20:00,38.89,39.1,38.8,39.05,28372,0.16,0.3
1/20/2021 19:00,38.83,39,38.81,38.9,8535,0.07,0.19
1/20/2021 18:00,38.84,39.12,38.71,38.71,95437,-0.13,0.41
1/20/2021 17:00,39.01,39.2,38.69,38.8,59169,-0.21,0.51
1/20/2021 16:00,39.6,40.14,38.71,39.12,2774510,-0.48,1.43
1/20/2021 15:00,39.275,39.97,38.83,39.59,2277319,0.32,1.14
1/20/2021 14:00,38.635,39.55,37.85,39.2744,2931624,0.64,1.7
1/20/2021 13:00,39.28,40.05,38.275,38.67,3078288,-0.61,1.78
1/20/2021 12:00,36.86,41.1899,36.06,39.35,11109230,2.49,5.13
1/20/2021 11:00,37.97,38.19,36.4,36.86,5661812,-1.11,1.79
1/20/2021 10:00,37.95,39.3933,36.63,37.9175,4989695,-0.03,2.76
1/20/2021 9:00,37.65,39,37.1,37.87,308178,0.22,1.9
1/20/2021 8:00,37.92,38.5,37.54,38.42,155839,0.5,0.96
1/20/2021 7:00,37.7,38,37.5,37.9,25344,0.2,0.5
1/20/2021 6:00,38.05,38.05,37.65,37.7,10774,-0.35,0.4
1/20/2021 5:00,38.5,38.58,37.4,37.83,14014,-0.67,1.18
1/19/2021 20:00,38.7,38.8,38.56,38.6,58197,-0.1,0.24
1/19/2021 19:00,38.9,38.96,38.7,38.75,45556,-0.15,0.26
1/19/2021 18:00,38.84,38.96,38.65,38.89,114564,0.05,0.31
1/19/2021 17:00,39.36,39.71,38.5101,38.8398,356903,-0.52,1.2
1/19/2021 16:00,40.2607,40.53,38.61,39.51,5441905,-0.75,1.92
1/19/2021 15:00,40.9444,40.99,39.6,40.276,3481742,-0.67,1.39
1/19/2021 14:00,42.0295,42.1978,40.29,40.94,5291796,-1.09,1.91
1/19/2021 13:00,39.63,42.3,39.4,42.12,10673246,2.49,2.9
1/19/2021 12:00,37.79,39.69,37.7301,39.6201,7493430,1.83,1.96
1/19/2021 11:00,40.75,40.76,36.64,37.76,21488162,-2.99,4.12
1/19/2021 10:00,40.85,45.52,39.25,40.7378,19049181,-0.11,6.27
1/19/2021 9:00,38.38,41.24,37.2002,40.88,777327,2.5,4.04
1/19/2021 8:00,40.5,40.99,37.1,38.38,602216,-2.12,3.89
1/19/2021 7:00,41.1,41.1,40.31,40.34,32622,-0.76,0.79
1/19/2021 6:00,40.77,41.5,40.42,41.25,30841,0.48,1.08
1/19/2021 5:00,39,42.61,38.31,40.9,90542,1.9,4.3
1/14/2021 20:00,41.9,42.5,41.76,42,164070,0.1,0.74
1/14/2021 19:00,42.4,43.06,41.45,41.94,309114,-0.46,1.61
1/14/2021 18:00,39.55,43.57,39.54,42.34,864011,2.79,4.03
1/14/2021 17:00,40,40.1,38.57,39.63,793473,-0.37,1.53
1/14/2021 16:00,39.2941,40.03,37.6,39.9184,10174355,0.62,2.43
1/14/2021 15:00,38.985,40.41,38.21,39.275,7037858,0.29,2.2
1/14/2021 14:00,37.96,41.5,37.77,38.91,11586736,0.95,3.73
1/14/2021 13:00,36.885,43.06,36.55,37.9999,23201998,1.11,6.51
1/14/2021 12:00,35.21,37.24,35.12,36.88,9829520,1.67,2.12
1/14/2021 11:00,35.16,37.11,33.56,35.2236,12014476,0.06,3.55
1/14/2021 10:00,36.5501,38.77,33.05,35.14,15640680,-1.41,5.72
1/14/2021 9:00,35.9974,39.74,35.2,36.55,1339017,0.55,4.54
1/14/2021 8:00,36,39.75,35.5,36.7,1074535,0.7,4.25
1/14/2021 7:00,35.99,36.34,35,36,47107,0.01,1.34
1/14/2021 6:00,37.57,37.85,35.65,36,70687,-1.57,2.2
1/14/2021 5:00,33.48,38.2,33.2,37.51,130187,4.03,5
1/13/2021 20:00,32.49,32.9,32.2,32.8,92610,0.31,0.7
1/13/2021 19:00,32.12,32.95,32.12,32.44,121471,0.32,0.83
1/13/2021 18:00,31.38,33,31.26,32.02,317556,0.64,1.74
1/13/2021 17:00,31.3998,31.98,30.52,31.25,598436,-0.15,1.46
1/13/2021 16:00,33.03,33.24,30.7,31.44,10109770,-1.59,2.54
1/13/2021 15:00,33.465,34.38,32.15,33.025,10654062,-0.44,2.23
1/13/2021 14:00,34.29,34.93,31.555,33.52,16105769,-0.77,3.38
1/13/2021 13:00,31.7501,34.6841,30.1,34.31,29772796,2.56,4.58
1/13/2021 12:00,28.6301,38.65,28.53,31.75,46882403,3.12,10.12
1/13/2021 11:00,22.93,29.1,22.78,28.646,24920053,5.72,6.32
1/13/2021 10:00,20.36,23.4,20.03,22.91,4821138,2.55,3.37
1/13/2021 9:00,20.2499,20.61,20.17,20.39,55730,0.14,0.44
1/13/2021 8:00,20.1,20.47,20.08,20.32,19398,0.22,0.39
1/13/2021 7:00,20.36,20.36,20.36,20.36,291,0,0
1/13/2021 5:00,20.15,20.15,20.15,20.15,120,0,0
12/30/2020 20:00,19.16,19.35,19.16,19.34,1522,0.18,0.19
12/30/2020 19:00,19.21,19.22,19.1,19.15,7658,-0.06,0.12
12/30/2020 18:00,19.26,19.4,19.21,19.21,10553,-0.05,0.19
12/30/2020 17:00,19.3,19.3,19,19.23,6529,-0.07,0.3
12/30/2020 16:00,19.015,19.42,18.85,19.26,1384365,0.25,0.57
12/30/2020 15:00,19.2601,19.5,19.015,19.015,593901,-0.25,0.48
12/30/2020 14:00,19.03,19.28,19.025,19.2689,477057,0.24,0.26
12/30/2020 13:00,19.25,19.32,19,19.0201,753961,-0.23,0.32
12/30/2020 12:00,19.47,19.5178,19.2,19.26,789229,-0.21,0.32
12/30/2020 11:00,19.805,19.84,19.41,19.465,942178,-0.34,0.43
12/30/2020 10:00,19.02,20,19.02,19.83,809746,0.81,0.98
12/30/2020 9:00,19.32,19.58,19.02,19.04,16194,-0.28,0.56
12/30/2020 8:00,19.39,19.5,19.3,19.3,2314,-0.09,0.2
12/30/2020 7:00,19.34,19.6,19.34,19.59,1625,0.25,0.26
12/30/2020 6:00,19.32,19.32,19.32,19.32,100,0,0
12/8/2020 20:00,14.26,14.3,14,14,163222,-0.26,0.3
12/8/2020 19:00,14.62,14.71,13.85,14.25,961104,-0.37,0.86
12/8/2020 18:00,14.84,15,14.64,14.65,857332,-0.19,0.36
12/8/2020 17:00,16.85,18.3,14.71,14.8498,4676591,-2,3.59
12/8/2020 16:00,16.115,17.21,16.105,16.92,3526313,0.81,1.11
12/8/2020 15:00,16.405,16.54,16.07,16.12,1493598,-0.29,0.47
12/8/2020 14:00,16.22,16.43,16.22,16.405,627380,0.19,0.21
12/8/2020 13:00,16.22,16.39,16.13,16.23,750763,0.01,0.26
12/8/2020 12:00,16.38,16.39,16.13,16.22,697449,-0.16,0.26
12/8/2020 11:00,16.08,16.61,16,16.38,1014875,0.3,0.61
12/8/2020 10:00,16.38,16.6,15.93,16.08,1192777,-0.3,0.67
12/8/2020 9:00,16.4499,16.55,16.34,16.45,43860,0,0.21
12/8/2020 8:00,16.39,16.49,16.39,16.45,4744,0.06,0.1
12/8/2020 7:00,16.6,16.6,16.3,16.34,2779,-0.26,0.3
12/8/2020 6:00,16.59,16.6,16.59,16.6,920,0.01,0.01
12/8/2020 5:00,16.38,16.5,16.38,16.5,840,0.12,0.12
10/8/2020 20:00,14.34,14.64,14.04,14.09,679871,-0.25,0.6
10/8/2020 19:00,14.36,14.41,13.81,14.39,820580,0.03,0.6
10/8/2020 18:00,14.79,14.89,13.49,14.44,2625377,-0.35,1.4
10/8/2020 17:00,13.5,14.93,13.16,14.77,7014369,1.27,1.77
10/8/2020 16:00,11.38,13.64,11.05,13.505,38123471,2.13,2.59
10/8/2020 15:00,10.34,11.9,9.31,11.3899,25099941,1.05,2.59
10/8/2020 14:00,9.295,9.32,9.2,9.215,206188,-0.08,0.12
10/8/2020 13:00,9.265,9.3483,9.22,9.2989,372089,0.03,0.13
10/8/2020 12:00,9.3181,9.34,9.22,9.27,501473,-0.05,0.12
10/8/2020 11:00,9.222,9.3785,9.19,9.32,399560,0.1,0.19
10/8/2020 10:00,9.39,9.54,9.22,9.223,378979,-0.17,0.32
10/8/2020 9:00,9.3701,9.53,9.37,9.42,3562,0.05,0.16
10/8/2020 8:00,9.46,9.46,9.46,9.46,300,0,0
